input,best_output,score
"读书破万卷,下笔如有神是哪一首诗里的?",奉赠韦左丞丈二十二韵。读书破万卷下笔如有神唐代诗人杜甫在他的《奉赠韦左丞丈二十二韵》一诗中，表达了自己徒有才华、壮志难酬的满腔愤激之情,0.70703125
力的单位是什么?,安培。单位国际单位制中电流的基本单位是安培。,0.66796875
炫烨是那个皇帝的名字？,圣祖。康熙的庙号是圣祖,0.8203125
菲律宾主要的气候类型是什么？,热带季风气候。东南亚的主要气候类型是热带季风气候和热带雨林气候；中南半岛、菲律宾群岛北部主要是热带季风气候，马来群岛则主要是热带雨林气候．故选：c．,0.6484375
氢、氚、氘的关系是,同位素。氢有三种同位素，h氕、d氘（又叫重氢）、t氚（又叫超重氢）,0.8359375
2014年万圣节是哪天？,7月11日。每年的7月11日为世界人口日（worldpopulationday）,0.75
百度是谁创造,刘邦。推荐答案汉高祖即刘邦,0.6328125
酱油是哪国发明的,日本。推荐答案最早的校园歌曲是在日本出现的,0.67578125
小说《鹿鼎记》中藏有藏宝阁的经书是那本,四十二章经。是《四十二章经》在金庸先生的小说《鹿鼎记》中，《四十二章经》表面上是一本普通佛经，其实关乎大清龙脉——满人入关时曾在关外藏了很多宝藏，而在这部经书中，就藏有宝藏地图,0.828125
羽毛球比赛中，发球时球拍必须先击中球的哪个部份？,球托。发球1发球时任何一方都不允许非法延误发球；2发球员和接发球员都必须站在斜对角发球区内发球和接发球，脚不能触及发球区的界线；两脚必须都有一部分与地面接触，不得移动，直至将球发出3发球员的球拍必须先击中球托，与此同时整个球要低于...,0.80078125
"格林童话《灰姑娘》中,灰姑娘参加舞会时所做的车是由哪种植物变成的?",南瓜。这时，有一位仙女出现了，帮助她摇身一变成为高贵的千金小姐，并将老鼠变成马夫，南瓜变成马车，又变了一套漂亮的衣服和一双水晶（玻璃）鞋给灰姑娘穿上。,0.73828125
北宋是中国历史上以汉族为主体建立的封建王朝，建都在哪里？,开封。公元960年，后周大将赵匡胤发动陈桥兵变，建立宋朝，定都开封（今属河南），史称“北宋”,0.7265625
牛魔王的儿子叫什么名？,李靖。西游记《西游记》讲的是托塔天王李靖的第三子。,0.73046875
童话故事《皮皮鲁和鲁西西》系列的作者是谁?,郑渊洁。皮皮鲁是郑渊洁的童话《皮皮鲁和鲁西西》中的小男主角,0.875
怀化属哪个省,湖南。岳阳（湖南省辖市）,0.8125
世界上最浅的海叫什么？,太平洋。最大的是太平洋，最小的是北冰洋,0.73828125
笛子声是由什么振动发出的,笛膜。笛子声是由笛膜振动发出的,0.890625
金字塔是谁发明的,刘邦。推荐答案汉高祖即刘邦,0.625
刘嘉玲老公是谁,梁朝伟。刘嘉玲的老公是梁朝伟丫~！,0.7890625
鱼翅是什么运动器官,鳍。鱼翅鲨鱼属软骨鱼类，鳍骨形似粉丝,0.75390625
华佗是谁杀死的,曹操。曹操，中国历史上著名的神医华佗，据文献记载，是被曹操杀死的,0.7890625
佛山又叫什么名,禅城。佛山又叫“禅城”,0.83984375
中国第一设计邮票者是谁,射击运动员。人简介许海峰，我国著名的射击运动员,0.671875
古代奥运会创始人是谁？,伊菲图斯。古代奥运会的创始人是伊菲图斯,0.79296875
破产姐妹里的韩是哪国人,韩国。剧里是韩国人，演员其实是华人,0.76953125
清朝康熙皇帝的儿子八阿哥,康熙。历史执政最久的皇帝是康熙皇帝,0.82421875
"陕西乾陵的""无字碑"",是哪位皇帝的功德碑?",武则天。墓前有两块碑，一块是高宗的墓碑，上有武则天的题词：另一块是武则天的无字墓碑。,0.75390625
生物体的形态特征和生理特征叫做？,性状。性状是指生物体所有特征的总和．遗传学中把生物个体所表现的形态结构、生理特征和行为方式等统称为性状．任何生物都有许许多多性状．有的是形态结构特征（如豌豆种子的颜色，形状），有的是生理特征（如人的abo血型，植物的抗病性，耐寒性），有...,0.71875
citizen是什么手表,广东省。珠海属于广东省,0.6484375
什么是所有生物的共同家园？,浮游生物。海洋中最多的生物是？:浮游生物,0.68359375
红军长征从那里开始,六盘山。六盘山.1935年10月，红军翻越了长征途中最后一座山——六盘山,0.6640625
跳的最高最远的哺乳动物是?,袋鼠。袋鼠是跳得最高最远的哺乳动物。,0.828125
"救人一命胜造7级浮屠,浮屠是指什么?",佛塔。浮屠就是佛塔，是音译过来的。,0.7265625
"电影《第一滴血》中,史泰龙扮演的角色叫什么名字?",兰博。《第一滴血ii》西尔维斯特·史泰龙在《第一滴血》中扮演兰博一角大受欢迎，当然要乘胜追击开拍续集。,0.76953125
中国1997年设立的直辖市是哪个?,重庆。1997年3月14日，重庆重新恢复直辖市建制。,0.796875
最近赢得俄罗斯总统大选的是谁?,普京。3月5日——俄罗斯总理普京赢得2012年总统大选。,0.76171875
"苏堤春晓俗称苏公堤,是我国哪个湖的著名景观?",西湖。苏堤春晓俗称苏公堤，为西湖十景之首。,0.859375
歌唱家才旦卓玛是我国哪个民族的?,藏族。才旦卓玛是新中国藏族第一代歌唱家。,0.859375
"圣经中说,夏娃是由亚当身体的一根什么造成的?",肋骨。圣经说，上帝创造了第一个男人亚当后，从他身上取下一根肋骨又造了一个女人夏娃。,0.83203125
世界上第一只用已经分化成熟的体细胞克隆出的动物是什么?,羊。克隆羊多莉是世界上第一只用已经分化的成熟的体细胞(乳腺细胞)克隆出的羊。,0.89453125
《月亮之上》是内地哪个组合的成名曲?,凤凰传奇。《月亮之上》是凤凰传奇的成名曲，在发行后引起了非常大的反响。,0.796875
"被称为""可入口的古董""的普洱茶产自我国的哪个省?",云南。你好！普洱茶产自云南普洱市；是云南的特产呢~黑色的饼状茶叶，也称为茶饼；喝过几次，很浓香·,0.7265625
中国最大的沙漠是什么沙漠?,乌鲁木齐。乌鲁木齐是我国离海洋最远的省府城市,0.71484375
08年北京奥运会开幕式和闭幕式的总导演是谁?,张艺谋。2008年北京奥运会开闭幕式主创人员北京奥运会开幕式总导演：张艺谋北京奥运会开幕式美术总设计师：陈岩北京奥运会开幕式副总导演：陈维亚、张继刚北京奥运会开幕式服装总设计师：贺阳、石冈瑛子北京奥运会开幕式音乐总设计师：陈其钢北京...,0.78125
好莱坞巨星阿诺施瓦辛格曾经是美国哪个州的州长?,加利福尼亚。阿诺德·施瓦辛格，1947年7月30日生于奥地利，是美国好莱坞男演员、健美运动员、前美国加州州长、政治家，拥有美国和奥地利双重国籍,0.78125
巴西曾经是哪个国家的殖民地？,葡萄牙。巴西在历史上作为葡萄牙的殖民地长达300年之久,0.78125
“春秋”是根据哪国史料编成的一部历史书？,鲁国。春秋》是鲁国的编年史，经过了孔子的修订,0.86328125
吃太多手摇爆米花爆出的米花容易造成什么金属元素中毒?,铅。吃太多手摇爆米花机爆出的米花会导致铅中毒．因为手摇爆米花机的端盖是采用可压缩的铅作为密封，所以在加工过程中，加热后会渗透到爆米花中,0.84375
"川菜""蚂蚁上树""的主要食材是肉末炒什么?",川菜。麻婆豆腐是中国汉族八大菜系之一的川菜中的名品,0.7578125
“春眠不觉晓，处处闻啼鸟。夜来风雨声，花落知多少？”这首老幼皆知的唐诗是唐代哪位大诗人的作品？,孟浩然。出自《春晓》是唐代诗人孟浩然文章全诗是“春眠不觉晓，处处闻啼鸟,0.8359375
八大工业国峰会的英文简称是什么？,g8。八国集团首脑会议(g8summit)由西方七国首脑会议演变而来，与会八国也被称为八国集团,0.765625
古代兄弟四排行分别是伯、仲、___、季：,叔。2、兄弟四人，称“伯、仲、叔、季”,0.8828125
最先发现x射线的科学家是谁？,伦琴。最早发现x射线的科学家是伦琴，所以x射线也叫伦琴射线,0.79296875
司马光的“资治通鉴”共用了多少年完成？,编年体。《资治通鉴》，简称“通鉴”，是北宋司马光所主编的一本长篇编年体史书，共294卷，耗时19年,0.82421875
《伊豆的舞女》是谁的作品,川端康成。1926年，川端康成发表了《伊豆舞女》，其写作风格从新感觉到新...,0.69140625
太阳活动强弱的主要标志是?,黑子。黑子数目和耀斑大小变化的周期大约都为11年，所以黑子数目的多少才是太阳活动的主要标志,0.734375
我国第一部长篇小说是?,诗经。我国最早的诗歌总集是《诗经》。,0.6796875
《三个火枪手》是哪位法国作家的代表作?,亚历山大·小仲马。《茶花女》是法国著名作家亚历山大·小仲马的代表作。,0.7890625
"小说《水浒传》中外号""菜园子""的人物是?",史进。梁山一百单八将中第一个出场的人物及其绰号是:（九纹龙史进）,0.82421875
"有""雪山太子""这称的是云南省的哪座山?",四川。享有“天府之国”美称的盆地是四川盆地,0.7109375
"秦始皇在位时废除分封制,代以什么行政地方制度?",郡县制。秦统一后，秦始皇采纳李斯的建议，决定在全国范围废除分封制，以郡县制作为中央控制地方的制度。,0.85546875
谁发现光的粒子性。,伦琴。1895年德国物理学家伦琴发现了x射线。,0.6875
"希腊神话中因为被母亲倒提着浸在冥河水中,使得除了脚后跟之外刀枪不入的英雄人物是谁?",阿喀琉斯。在阿喀琉斯出生后，忒提斯照样捏着他的脚踝将他浸泡在冥河斯堤克斯（一说天火）中，使他全身刀枪不入，惟有脚踝（被忒提斯手握着，没有浸到冥河），此即西谚“阿喀琉斯之踵”的来源。,0.8203125
五个温度带分为北寒带、北温带、南温带、南寒带和什么?,热带。通常根据≥10℃的积温的多少可划分为五个温度带：北寒带、北温带、热带、南温带、南寒带。,0.84765625
在《金枝欲孽》中饰演如妃的是香港那位女演员?,张定涵。武媚娘传奇中郑婉言是张定涵饰演,0.7578125
从80年代开始学校里面通用的广播体操第一节是什么运动?,日本。推荐答案最早的校园歌曲是在日本出现的,0.68359375
"以冰雕目名,素有冰城之称的中国东北是哪座城市?",漠河。被称为“不夜城”的城市是漠河,0.75390625
"2008年金融危机发生后,欧盟国家发生的债务危机主要引线或导火索是哪个国家?",意大利。14-15世纪欧洲最早出现资本主义萌芽的国家是意大利,0.66796875
"被称为""奇险天下第一山"",有长空栈道、苍龙岭等著名险道的山是?","华山。自古以来就有""华山天下险""、""奇险天下第一山""的...朝元洞、长空栈道、全真岩、避诏岩、鹰翅石、杨...人称为屈岭,也称小苍龙岭,是华山著名的险道之一",0.84765625
三过家门而不人是哪一历史人物的故事?,大禹。大禹继父治水，“七年闻乐不听，三过家门不入”的美谈，流传至今。,0.7578125
《yesterdayoncemore》是哪个美国著名兄弟组合的歌曲?,卡朋特。主唱妹妹卡伦卡朋特（1950---1983），伴唱，演奏：理查德卡朋特（1946---）他们的成名曲之一是closetoyou，另一首则是yesterdayoncemore(昨日重现）。,0.66796875
我们平时说的两院院士是指中国工程院和哪个学术机构?,中国科学院。纠正一楼的回答中国社会科学院没有院士只有学部委员我们常说的两院院士是指科学院和工程院的院士中国社会科学院的机构功能官方定义是“中国哲学社会科学研究的最高学术机构和综合研究中心”（具体可查百度百科http://baike.baidu.com/view/33...,0.7890625
现存的埃及狮身人面像上五官当中缺少了哪个部位?,鼻子。但是，几千年岁月的流逝使斯芬克斯的模样大变，额上的圣蛇和下垂的长须不知去向，这可以让人理解，那为何连面部中央的鼻子也失踪不见了？到埃及去旅游，如果不去看金字塔，就会有入宝山而空手回的...,0.73046875
"糖类化合物由于所含的氢和氧的比例为二比一,因此又被成为什么化合物?",碳水化合物。化学组成糖类化合物由c，h，o三种元素组成，分子中h和o的比例通常为2：1，与水分子中的比例一样，故称为碳水化合物。,0.83203125
旧社会的不治之症肺痨就是现在的什么疾病?,肺结核。早期五十万年前就有肺结核结核俗称“痨脖（也称为“肺痨”）、“白疫”，是结核杆菌侵入体内引起的感染，是青年人容易发生的一种慢性和缓发的传染玻一年四季都可以发病，15岁到35岁的青少年是结核病的高发峰年龄,0.703125
"冬季路面上容易结冰,我们一般会在路面上洒什么调味品?","盐。为了让冬季路面上的水防止结冰可以选择撒盐,我们先来认识一下融雪所用的食盐(主要成分nacl)的一些理化特性:①可溶性.食盐很容易溶解在水中,这是一个很常见的物理现象.②吸潮性.盐的表面通常被一层薄膜状的饱和盐溶液所包围，当这层薄膜溶液的蒸...",0.69140625
she中hebe的原名叫什么,刘若英。《一辈子的孤单》原唱刘若英,0.69140625
企鹅住在哪里?,广东省。珠海属于广东省,0.640625
"电影《星语心愿》中,张柏芝饰演的角色是什么职业的?",张静初。脱轨时代的女主角是张静初所饰演的许可望采纳,0.75390625
"一人表演动作,一人藏在身后说或唱,这种曲艺叫什么?","双簧。8.距离地球最近的行星叫什么?(火星)9.水表上的度是表示耗水量,一度即一吨...57双簧是一种曲艺形式,一人表演动作,一人藏在后面说或唱,互相配合,这种曲艺形式...",0.8125
"我国""京津唐""工业区的三个核心城市是天津,唐山和哪座城市?",北京。读图可知，（1）该图是我国北方最大的综合性工业基地----京津唐工业区．（2）①是北京，②是天津，③是唐山．（3）京津唐工业基地的工业结构特点是我国北方最大的综合性工业基地．（4）京津唐工业基地有丰富的煤、铁、石油、和天然气．（5）京津唐...,0.73828125
朝鲜现任领导人金正恩的妻子叫什么名字?,朝鲜。推荐答案韩国人口中的北韩指的就是北朝鲜,0.69140625
"名著《三国演义》中,蜀中无大将,哪个人作先锋?",赵云。c赵云主要是因为入巴蜀时无败绩所给人称常胜将军,0.78515625
阿巴贡是法国剧作家莫里哀的哪部作品中的人物?,亚历山大·小仲马。《茶花女》是法国著名作家亚历山大·小仲马的代表作。,0.79296875
"2001版电视剧《康熙王朝》中,饰演成年康熙皇帝的是我国哪位著名男演员?",张铁林。由“铁三角”张铁林、张国立、王刚主演的系列电视剧《铁齿铜牙纪晓岚》，至2009年已发行四部。,0.73046875
"在美国境内,被称为""汽车城""的是哪座城市?",美国。福特汽车公司是美国品牌，总部在底特律,0.76953125
"我们常说""唐诗宋词元曲"",那么明清是以什么文体作为代表?","小说。一般认为是宋词.比较流行说法概括唐代到清的代表文体是说""唐诗宋词元曲明清小说"",但是要注意,词起源于唐,据说;李白的就是最早的词,但是词直到宋代才趋于完善,也是词的鼎盛时期,其实是诗歌的一种变体,所以也叫做""诗余""",0.8125
"金庸小说《神雕侠侣》中,公孙止是什么谷的谷主?",金毛狮王。成昆金庸小说《倚天屠龙记》的人物，绰号“混元霹雳手”，精擅混元功，本是一武林高手，其弟子更是大大有名的明教四大法王之三“金毛狮王”谢逊,0.78515625
艾米所写的《山楂树之恋》被哪位导演翻拍成电影?,张艺谋。《山楂树之恋》是根据艾米小说《山楂树之恋》改编的，由张艺谋执导，周冬雨、窦骁等主演的爱情片。,0.8203125
香港70年代由钟镇涛、谭咏麟等人组成的五人乐队叫什么?,温拿。温拿乐队成员包括：主音歌手谭咏麟、主音歌手及吉他手钟镇涛、吉他手彭健新、低音吉他手叶智强、鼓手陈友。,0.78125
刘德华于2008年6月注册结婚的太太是谁?,朱丽倩。2008年，6月23日刘德华与朱丽倩在美国拉斯维加斯注册结婚。,0.8671875
"拥有清故宫,在清朝时被称为""盛京""的是哪个城市?",沈阳故宫。沈阳故宫，原名盛京宫阙，后称奉天行宫。,0.796875
"金庸小说中,五毒教的毒物是蛇、蜘蛛、蜈蚣、蟾蜍、和什么?",蝎子。五毒教把青蛇、蜈蚣、蝎子、蜘蛛、蟾蜍称作“五圣”。,0.83203125
"民间传说中,包拯用来斩杀犯人的刑具包括龙头铡、虎头铡和什么铡?",狗头铡。包拯塑像的左面陈列着“龙头铡”、“虎头铡”、“狗头铡”。,0.86328125
围棋起源自哪个国家？,围棋。相关含义世界上的4大棋类（围棋、中国象棋、国际象棋、将棋）都与该国家的政治制度有关。,0.71875
我国第一大淡水湖是:,湖北。洪湖为全国第七、湖北第一大淡水湖泊，旅游开发潜力巨大。,0.734375
单杠的雏形是：,日本。推荐答案最早的校园歌曲是在日本出现的,0.6171875
被西方称之为物理学之父的科学家是：,阿基米德。被西方称为“物理学之父”的科学家是阿基米德阿基米德(archimedes，约公元前287～212)是古希腊物理学家、数学家，静力学和流体静力学的奠基人,0.7421875
陆地上最高的哺乳动物是什么?,袋鼠。袋鼠是跳得最高最远的哺乳动物。,0.71875
人全身共有几块骨头：,206。成人骨头共有206块，分为头颅骨、躯干骨、上肢骨、下肢骨四个部分,0.73046875
我国第一部中医学典籍是？,黄帝内经。是中国传统医学四大经典著作之一(《黄帝内经》、《难经》、《伤寒杂病论》、《神农本草经》)，是我国医学宝库中现存成书最早的一部医学典籍,0.7421875
释迦牟尼圆寂时多少岁,"80。佛教的创始人是释迦牟尼佛,这个名号是印度梵语音译过来的,释迦是仁慈的意思,牟尼...据经典记载佛圆寂时,世寿80岁零2个月",0.78125
我国的京杭大运河全长多少？,"1794。京杭大运河全长1794千米,是世界上最长的一条人工运河,是苏伊士运河的16倍,巴拿马运河的33倍,纵贯南北,是我国重要的一条南北水上干线",0.73828125
人有乳牙多少颗？,20颗。每个人有32颗牙齿乳牙总共为20颗，而恒牙则有28-32颗智齿（第三恒磨牙）的萌出因人而异，有的可能24-25岁才长出，有的则终身不长,0.70703125
弹性最好又挺括的织品是哪一种,涤纶织品。涤纶织品，只有涤纶才有挺括的效果，例如婚纱只能用涤纶来做，就因为涤纶的挺括性最好,0.76171875
经济特区的设立促进经济的发展，我国最大的经济特区在哪里：,海南。海南省中国最大经济特区，作用主要体现在三个方面：一、海南的战略地位十分重要，建立海南经济特区，是我国进一步扩大对外开放的重要措施，对我国的对外开放有着深远的意义,0.7421875
第一次世界杯在哪一年举行？,西班牙。西班牙最终获得了2010年南非世界杯冠军。,0.73828125
世界上风速最大的地方是,智利。世界上领土最狭长的国家是智利,0.71875
《乔厂长上任记》的作者：,严歌苓。《金陵十三钗》，严歌苓著中篇小说。,0.73046875
鲁智深到哪里出家当了和尚?,五台山。鲁智深原名鲁达，原是陕西渭州经略府的提辖，因为打死了强占民女的恶霸镇关西，逃到五台山出家当了和尚，法名叫智深,0.7265625
1898年发生的变法是：,戊戌变法。戊戌变法”又叫“百日维新”和“维新变法”，是1898年发生在我国的一次向西方学习制度，把中国变成资本主义国家的运动,0.77734375
水分子有哪两种元素组成,氢、氧。每个水分子（h2o）应由两个氢原子和一个氧原子构成，或者说水分子（h2o）由氢原子和氧原子构成，也可以说水是由氢、氧元素组成,0.765625
1913年7月，孙中山发动“二次革命”，主要针对：,袁世凯。二次革命孙中山等革命党人於1913年发动的讨伐袁世凯的一场战争，又称“癸丑之役”、“赣宁之役”,0.84765625
发明了世界上第一辆蒸汽动力车的是哪国人？,法国。１７７０年法国人尼古拉斯古诺１７２５—１８０４将蒸汽机装在板车上，制造出第一辆蒸汽板车，这是世界上第一辆利用机器为动力的车辆,0.75
"《失恋33天》中,白百合饰演的角色名叫?",黄小仙。2011年与文章搭档合作主演中国内地首部为光棍节定制的“治愈系”爱情电影《失恋33天》，电影中白百何演绎角色黄小仙。,0.76171875
世界上使用最广泛的语言是?,英语。汉语是世界上使用人数最多的语言，英语是世界上适用范围最广的语言．故选：b．,0.79296875
"出入国境和国外旅行时,须携带的个人身份合法证件叫什么?",护照。护照是一个国家的公民出入本国国境和到国外旅行或居留时，由本国发给的一种证明该公民国籍和身份的合法证件。,0.83984375
在灯光照射下用兽皮刻制的人物隔着亮布演的戏称为什么?,皮影戏。皮影戏，又称“影戏”或“影子戏”，是一种以兽皮或纸板做成的人物剪影，在灯光照射下用隔亮布进行演戏，是中国汉族民间广为流传的傀儡戏之一。,0.796875
"阿里巴巴集团主要创始人之一,现任阿里巴巴集团主席和首席执行官的企业家是?",马云。领导简介马云阿里巴巴集团执行主席马云为阿里巴巴集团的主要创始人，自1999年集团成立以来一直担任主席兼首席执行官，负责集团的整体策略及方针。,0.8203125
"""汉莎""是哪个欧洲国家的航空公司?",德国。作风：说你做的做你说的马上行动汉莎航空德国汉莎航空集团(lufthansa)于1926年4月6日在德国柏林正式成立。,0.73828125
受精极核发育后会变成什么,胚乳。在植物中，有胚乳的是单子叶植物，也就是说单子叶植物的受精极核发育成胚乳，那么双子叶植物呢？双子叶植物的胚乳在形成种子的过程中退化，但并不是没有了，双子叶植物的种子有两片子叶，这两片子叶的主要作用就是为储存供种子发育成幼苗所需的...,0.65625
"儿歌《蓝精灵》,蓝精灵齐心合力打败了那个巫师?",格格巫。《蓝精灵》歌词在那山的那边海的那边有一群蓝精灵他们活泼又聪明他们调皮又灵敏他们自由自在生活在那绿色的大森林他们善良勇敢相互都关心噢可爱的蓝精灵噢可爱的蓝精灵他们齐心合力开动脑筋斗败了格格巫他们唱歌跳舞快乐多欢欣更多...,0.71484375
"刘伟强执导的系列电影《古惑仔》中,饰演""山鸡""的是哪位男演员?",陈小春。山鸡就是陈小春啦！下面这些片他都演古惑仔的~1996:洪兴仔之江湖大风暴(导演:邱礼涛)梁朝伟李若彤谷峰1996:古惑仔之人在江湖(导演:刘伟强)郑伊健吴镇宇黎姿谢天华朱永棠林晓峰任达华李兆基1996:古惑仔之2猛龙过江(导演:刘伟...,0.8046875
"86版电视剧《西游记》中,孙悟空用芭蕉扇熄灭了那座山的烈火?",火焰山。《西游记》中有一回叫“孙悟空三调芭蕉扇”，唐僧师徒四人来到了烈日炎炎的火焰山，孙悟空问土地爷怎样过去，土地爷说要借铁扇公主的芭蕉扇，孙悟空就去借芭蕉扇，第一次，孙悟空被凶狠的铁扇公主扇跑了，后来灵吉菩萨送了孙悟空一粒定风丹，孙悟...,0.76171875
"当今世界海拔最高,线路最长的高原铁路是哪个铁路?",青藏铁路。（1）2005年10月，世界上海拔最高、线路及穿越冻土里程最长的高原铁路--青藏铁路全线铺通．该铁路东起西宁，西至拉萨，全长1956千米．青藏铁路显著改善了青海、西藏的交通条件和投资环境，确保了国家西部大开发战略的顺利实施．（2）青藏高原湖...,0.73828125
著名旅游景点月牙泉、鸣沙山都位于甘肃省的哪个县级市?,新疆。《西游记》中的火焰山是吐鲁番最出名的景点，位于新疆维吾尔自治区吐鲁番盆地的北缘，古丝绸之路北道,0.7109375
位于新疆的玉龙喀什河发源于什么山脉?,塔里木河。新疆南部的塔里木河，是中国最长的内流河，全长2179公里。,0.76953125
世界上最大的岛屿是哪个岛?,加拿大。世界上面积第二大的国家是加拿大,0.76171875
著有《猎人笔记》《贵族之家》的是俄罗斯你我著名作家?,俄。俄国人，作家，代表作品安娜·卡列尼娜、复活、战争与和平列夫·托尔斯泰，19世俄国最伟大的作家,0.76953125
"经典影视歌曲《包青天》第一句唱到""哪里有个包青天""?",牧羊曲。李连杰版的《少林寺》的主题曲是《牧羊曲》,0.7578125
最近上映的电影《一九四二》的导演是哪位大陆著名导演?,冯小刚。lz你好你说的电影是1942《一九四二》是由著名导演冯小刚执导的一部战争与剧情篇电影；，根据刘震云小说改编；1993年冯小刚看中剧本，到如今付诸拍摄，历时18年，《一九四二》也是冯小刚使用胶片拍摄的最后一部电影,0.73828125
古代科举考试凡是举人经过会试考中者被称为：,进士。所谓天子门生，是指参加殿试被录取的进士,0.84375
激流三部曲第一部是什么?,春。《激流三部曲》是长篇《家》《春》《秋》三部连续性小说的总称,0.78125
佛教起源于：,法国。愚人节起源于法国。,0.69140625
青藏高原上最著名的牲畜品种是：,西藏自治区。西藏自治区的首府就是拉萨,0.74609375
屈原之后又一伟大浪漫主义诗人是：,"杜甫。6、屈原:我国最早的伟大诗人,他创造了“楚辞”这一新诗体,开创了我国诗歌...古代最伟大的浪漫主义诗人是唐代的李白;古代最伟大的现实主义诗人是唐代的杜甫...",0.7734375
世界上耕地面积最大的国家,加拿大。世界上面积第二大的国家是加拿大,0.80859375
是谁首创了“大陆漂移学说”？,魏格纳。1912年魏格纳﹐a.l.正式提出了大陆漂移学说﹐并在1915年发表的《海陆的起源》一书中作了论证大陆漂移思想是一种活动论﹐它的提出是对固定论的挑战﹐并为板块构造学的建立和发展奠定了基础﹐对地球科学的发展起了很大的推动作用,0.6796875
《史记》中的“列传”有多少篇,列传。体例内部结构《史记》分本纪、表、书、世家、列传五部分。,0.734375
世界上哪个国家的纸币最值钱,英镑。推荐答案可兑换的国际通用外币中最值钱、保值的的是英镑，但世界上最值钱的是科威特第纳尔，汇率23人民币:1第纳尔[详细],0.7421875
世界上哪个海含盐度最高,太平洋。水温最高的大洋是太平洋~水温最高的海是红海~,0.75390625
是哪个国家发明的最早的多枚火箭连发装置和齐射装置？,中国。滑膛火炮的产生和发展至迟在元代，中国已经制造出最古老的火炮——火铳,0.76171875
后汉书的作者：,刘邦。推荐答案汉高祖即刘邦,0.734375
'五笔字型'的发明者是谁？,王永民。五笔字型输入法是王永民教授于1983年依据形码设计三原理而发明的一个开创性汉字输入计术.,0.7890625
列宁逝世于哪一年？,1924。你好！列宁（1870—1924），1870年4月22日出生;1924年1月21日逝世,0.65625
武侯祠在什么地方：,湖南。岳阳（湖南省辖市）,0.69140625
对计算机病毒和危害社会公共安全的其他有害数据的防治研究工作，属于哪个部门管理？,"公安部。《中华人民共和国计算机信息系统安全保护条例》第十五条对计算机病毒和危害社会公共安全的其他有害数据的防治研究工作,由公安部归口管理",0.89453125
拉丁美洲第一个独立的国家是：,海地。1804年，海地摆脱了法国的殖民统治，成为拉丁美洲第一个独立国家,0.7734375
江水英是哪一部现代京剧中的人物？,孙佳奇。武媚娘传奇萧蔷的扮演是孙佳奇,0.7109375
人体可以导电是因为人体中含有：,水。人的身体成分80%是水，所以说，人体可以导电是由于这个原因,0.81640625
太平天国创建者洪秀全原名是?,仁坤。太平天国创建者及思想指导者，称“天王”，原名仁坤,0.80859375
